zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
77354,5325,4988,4772,135,26,6,0,5,44,337,187,1,4,0,0,125,20,8600000US77354,39144.0,3923.0,5325,4959,136,30,6,0,130
30066,17830,17366,15422,1198,36,519,8,16,167,464,282,12,6,3,2,127,32,8600000US30066,42876.0,2231.0,17830,15704,1210,42,522,10,143
84403,12249,11067,10506,145,62,200,26,3,125,1182,475,6,12,5,2,618,64,8600000US84403,28227.0,1775.0,12249,10981,151,74,205,28,621
03062,9992,9801,9082,153,14,449,0,16,87,191,109,10,4,1,0,53,14,8600000US03062,43440.0,1761.0,9992,9191,163,18,450,0,69
77027,8462,7815,7147,223,18,280,3,16,128,647,449,4,2,1,0,166,25,8600000US77027,89183.0,8128.0,8462,7596,227,20,281,3,182
55119,15161,14736,12774,1119,87,513,8,16,219,425,188,19,7,0,0,170,41,8600000US55119,26442.0,923.0,15161,12962,1138,94,513,8,186
81301,12708,11773,11273,21,259,46,4,29,141,935,461,5,34,0,0,383,52,8600000US81301,37845.0,2277.0,12708,11734,26,293,46,4,412
33187,4137,1713,1292,266,8,80,2,7,58,2424,2130,27,3,1,1,173,89,8600000US33187,25319.0,2085.0,4137,3422,293,11,81,3,180
60714,12324,11926,10592,35,3,1134,1,4,157,398,243,2,4,5,0,123,21,8600000US60714,29595.0,1760.0,12324,10835,37,7,1139,1,127
72904,7599,6898,4753,1362,83,512,2,6,180,701,214,7,6,5,2,400,67,8600000US72904,13544.0,834.0,7599,4967,1369,89,517,4,406
