GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,Not Hispanic or Latino householder:,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,Hispanic or Latino householder:,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races
8600000US00601,00601,ZCTA5 00601,5895,27,23,2,0,1,0,0,1,5868,5595,65,8,0,0,104,96
8600000US00602,00602,ZCTA5 00602,13520,98,79,6,0,3,0,0,10,13422,11829,552,22,5,1,631,382
8600000US00603,00603,ZCTA5 00603,19152,229,185,19,1,16,0,2,6,18923,15604,1009,36,17,4,1716,537
8600000US00604,00604,ZCTA5 00604,1121,185,161,13,0,7,0,1,3,936,780,34,2,1,0,86,33
8600000US00606,00606,ZCTA5 00606,2013,13,11,1,0,1,0,0,0,2000,1801,76,4,0,0,50,69
8600000US00610,00610,ZCTA5 00610,9262,73,61,6,0,5,0,0,1,9189,7763,441,23,5,0,524,433
8600000US00612,00612,ZCTA5 00612,25399,216,177,7,5,11,0,0,16,25183,22249,1178,71,23,1,917,744
8600000US00616,00616,ZCTA5 00616,3557,17,14,2,0,0,0,0,1,3540,3090,189,9,4,0,159,89
8600000US00617,00617,ZCTA5 00617,7830,45,34,2,1,2,0,0,6,7785,6272,466,15,5,1,813,213
8600000US00622,00622,ZCTA5 00622,3086,75,66,1,1,1,0,2,4,3011,2684,60,4,0,1,143,119
8600000US00623,00623,ZCTA5 00623,14028,102,85,2,1,6,0,3,5,13926,12328,461,37,3,2,619,476
8600000US00624,00624,ZCTA5 00624,7698,52,44,2,1,1,0,1,3,7646,6349,348,18,3,0,731,197
