,zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
0,91606,14717,8083,5931,737,40,693,15,44,623,6634,2774,40,64,12,5,3250,489,8600000US91606,22619.0,1244.0,14717,8705,777,104,705,20,3294
1,98116,10571,10276,9422,153,76,352,16,21,236,295,166,6,8,2,2,80,31,8600000US98116,60743.0,3890.0,10571,9588,159,84,354,18,101
2,13035,2919,2890,2855,12,3,8,1,0,11,29,22,1,0,0,0,3,3,8600000US13035,38814.0,3486.0,2919,2877,13,3,8,1,3
3,78516,7193,1961,1910,7,6,5,0,2,31,5232,4446,2,6,1,1,671,105,8600000US78516,12323.0,1038.0,7193,6356,9,12,6,1,673
4,50125,6296,6263,6200,16,10,14,0,2,21,33,18,0,1,0,0,9,5,8600000US50125,31316.0,1651.0,6296,6218,16,11,14,0,11
5,60610,28638,27683,20463,5399,32,1350,20,29,390,955,615,55,10,5,0,216,54,8600000US60610,80153.0,4345.0,28638,21078,5454,42,1355,20,245
6,44138,7303,7224,7051,80,2,56,0,1,34,79,47,1,0,1,1,24,5,8600000US44138,35954.0,2402.0,7303,7098,81,2,57,1,25
7,51503,13048,12856,12677,54,27,43,2,3,50,192,107,4,4,0,0,64,13,8600000US51503,32713.0,1275.0,13048,12784,58,31,43,2,67
8,29323,5157,5106,4472,553,14,36,1,1,29,51,31,2,1,1,0,14,2,8600000US29323,23231.0,2650.0,5157,4503,555,15,37,1,15
9,4605,4614,4598,4519,2,23,11,2,2,39,16,10,0,0,0,0,5,1,8600000US04605,29297.0,1697.0,4614,4529,2,23,11,2,7
10,77045,7462,5673,465,5095,14,63,1,4,31,1789,732,22,16,0,2,907,110,8600000US77045,18438.0,1333.0,7462,1197,5117,30,63,3,911
11,1851,10164,9286,6502,323,20,2174,1,33,233,878,437,49,4,3,3,318,64,8600000US01851,24920.0,1496.0,10164,6939,372,24,2177,4,351
12,75442,2627,2438,2263,138,15,2,0,0,20,189,102,2,7,0,0,67,11,8600000US75442,28754.0,3032.0,2627,2365,140,22,2,0,67
