,Id,zip_code,Geography,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
0,8600000US31707,31707,ZCTA5 31707,16955,16785,10703,5820,28,144,4,8,78,170,102,20,3,0,0,42,3,16955,10805,5840,31,144,4,50
1,8600000US16001,16001,ZCTA5 16001,17740,17645,17336,150,16,62,2,7,72,95,68,1,1,0,1,20,4,17740,17404,151,17,62,3,27
2,8600000US66101,66101,ZCTA5 66101,5244,4244,1589,2414,32,93,1,11,104,1000,388,14,15,4,0,542,37,5244,1977,2428,47,97,1,553
3,8600000US77020,77020,ZCTA5 77020,8269,3709,401,3244,9,20,0,0,35,4560,2723,36,34,4,0,1540,223,8269,3124,3280,43,24,0,1540
4,8600000US75670,75670,ZCTA5 75670,6151,5758,2713,2968,15,11,3,1,47,393,142,16,7,1,0,206,21,6151,2855,2984,22,12,3,207
5,8600000US34990,34990,ZCTA5 34990,9906,9690,9523,61,8,60,0,3,35,216,177,5,1,0,0,22,11,9906,9700,66,9,60,0,25
6,8600000US47240,47240,ZCTA5 47240,7613,7589,7480,2,13,58,1,0,35,24,16,0,1,0,0,6,1,7613,7496,2,14,58,1,6
7,8600000US00783,783,ZCTA5 00783,11264,54,45,3,0,4,0,0,2,11210,10267,333,22,0,1,298,289,11264,10312,336,22,4,1,298
8,8600000US03431,3431,ZCTA5 03431,9899,9841,9682,24,14,51,1,6,63,58,40,4,1,0,0,10,3,9899,9722,28,15,51,1,16
9,8600000US33549,33549,ZCTA5 33549,17533,16036,14798,667,55,315,8,27,166,1497,1178,27,9,1,2,223,57,17533,15976,694,64,316,10,250
10,8600000US06776,6776,ZCTA5 06776,9609,9406,9017,133,12,137,1,14,92,203,155,3,1,1,0,31,12,9609,9172,136,13,138,1,45
11,8600000US45229,45229,ZCTA5 45229,7929,7878,1052,6682,9,36,0,9,90,51,11,27,2,0,0,5,6,7929,1063,6709,11,36,0,14
12,8600000US92109,92109,ZCTA5 92109,23866,22075,20510,256,83,591,49,78,508,1791,1009,12,25,11,2,609,123,23866,21519,268,108,602,51,687
13,8600000US22901,22901,ZCTA5 22901,13422,13158,11176,1428,17,394,3,11,129,264,160,14,2,0,1,74,13,13422,11336,1442,19,394,4,85
14,8600000US34689,34689,ZCTA5 34689,12287,11942,11197,491,25,110,2,5,112,345,249,12,4,0,1,58,21,12287,11446,503,29,110,3,63
15,8600000US64151,64151,ZCTA5 64151,9603,9389,8706,394,29,139,6,5,110,214,122,4,2,2,0,74,10,9603,8828,398,31,141,6,79
16,8600000US94134,94134,ZCTA5 94134,10757,8982,2323,1723,21,4465,161,22,267,1775,687,25,29,21,5,845,163,10757,3010,1748,50,4486,166,867
17,8600000US47909,47909,ZCTA5 47909,11543,11012,10546,281,21,92,3,1,68,531,239,2,6,0,0,256,28,11543,10785,283,27,92,3,257
18,8600000US38301,38301,ZCTA5 38301,15723,15592,8380,7051,31,24,2,3,101,131,55,28,3,1,0,35,9,15723,8435,7079,34,25,2,38
19,8600000US73521,73521,ZCTA5 73521,8509,7438,6327,807,106,70,11,2,115,1071,328,5,5,1,1,669,62,8509,6655,812,111,71,12,671
20,8600000US01923,1923,ZCTA5 01923,9555,9505,9354,29,11,79,0,3,29,50,35,1,2,0,1,9,2,9555,9389,30,13,79,1,12
21,8600000US02043,2043,ZCTA5 02043,7189,7156,7041,24,5,47,0,4,35,33,26,0,0,0,0,2,5,7189,7067,24,5,47,0,6
22,8600000US72076,72076,ZCTA5 72076,14564,14238,11130,2643,69,178,10,10,198,326,169,12,7,0,1,109,28,14564,11299,2655,76,178,11,119
23,8600000US84414,84414,ZCTA5 84414,6099,5947,5834,23,15,40,4,3,28,152,66,0,1,1,0,74,10,6099,5900,23,16,41,4,77
24,8600000US07017,7017,ZCTA5 07017,14658,14093,578,12863,36,60,3,56,497,565,137,148,6,1,1,218,54,14658,715,13011,42,61,4,274
25,8600000US41005,41005,ZCTA5 41005,5546,5488,5318,66,13,50,0,2,39,58,25,1,1,0,0,30,1,5546,5343,67,14,50,0,32
26,8600000US85040,85040,ZCTA5 85040,17855,9597,4464,4569,188,146,18,18,194,8258,3368,71,97,14,8,4339,361,17855,7832,4640,285,160,26,4357
27,8600000US92808,92808,ZCTA5 92808,7037,6433,4815,152,10,1282,4,6,164,604,354,3,10,7,0,190,40,7037,5169,155,20,1289,4,196
28,8600000US70785,70785,ZCTA5 70785,5247,5215,4957,198,10,6,0,5,39,32,26,1,0,0,0,4,1,5247,4983,199,10,6,0,9
29,8600000US20852,20852,ZCTA5 20852,15734,14756,11640,670,32,2095,2,28,289,978,699,13,9,6,1,194,56,15734,12339,683,41,2101,3,222
30,8600000US46214,46214,ZCTA5 46214,10434,10238,8763,1166,17,190,5,3,94,196,93,8,3,0,0,80,12,10434,8856,1174,20,190,5,83
31,8600000US55421,55421,ZCTA5 55421,11410,11217,10377,289,132,259,3,8,149,193,101,4,5,1,0,62,20,11410,10478,293,137,260,3,70
32,8600000US74115,74115,ZCTA5 74115,9119,8617,6466,1156,621,29,5,6,334,502,176,4,11,0,0,274,37,9119,6642,1160,632,29,5,280
33,8600000US17837,17837,ZCTA5 17837,5536,5459,5309,53,9,56,0,3,29,77,51,1,0,1,0,16,8,5536,5360,54,9,57,0,19
34,8600000US61704,61704,ZCTA5 61704,13423,13148,11795,744,17,514,4,9,65,275,139,2,2,0,1,107,24,13423,11934,746,19,514,5,116
35,8600000US08034,8034,ZCTA5 08034,7283,7142,6502,268,11,309,1,6,45,141,96,2,1,2,0,35,5,7283,6598,270,12,311,1,41
36,8600000US35630,35630,ZCTA5 35630,13810,13668,10868,2605,31,59,2,7,96,142,72,10,1,0,0,50,9,13810,10940,2615,32,59,2,57
37,8600000US78258,78258,ZCTA5 78258,5868,5039,4708,145,15,120,3,6,42,829,622,2,5,3,0,167,30,5868,5330,147,20,123,3,173
38,8600000US80239,80239,ZCTA5 80239,8381,6172,1592,4154,34,175,16,13,188,2209,806,37,32,9,5,1198,122,8381,2398,4191,66,184,21,1211
39,8600000US06443,6443,ZCTA5 06443,6515,6462,6310,20,1,82,0,3,46,53,44,1,0,1,0,7,0,6515,6354,21,1,83,0,10
40,8600000US11225,11225,ZCTA5 11225,23418,21432,1244,19266,55,183,4,111,569,1986,304,951,17,7,1,504,202,23418,1548,20217,72,190,5,615
41,8600000US23225,23225,ZCTA5 23225,17950,17494,9443,7431,43,295,8,23,251,456,128,49,7,4,1,235,32,17950,9571,7480,50,299,9,258
42,8600000US34446,34446,ZCTA5 34446,5688,5615,5527,27,15,21,0,1,24,73,66,1,0,0,0,5,1,5688,5593,28,15,21,0,6
43,8600000US20018,20018,ZCTA5 20018,6949,6860,168,6548,17,22,0,23,82,89,13,36,2,0,1,22,15,6949,181,6584,19,22,1,45
44,8600000US02368,2368,ZCTA5 02368,11327,11056,7791,2039,19,836,1,112,258,271,115,28,3,1,2,95,27,11327,7906,2067,22,837,3,207
45,8600000US13905,13905,ZCTA5 13905,11795,11479,10349,593,24,363,0,12,138,316,135,30,3,2,2,115,29,11795,10484,623,27,365,2,127
46,8600000US49546,49546,ZCTA5 49546,11880,11692,10651,564,17,306,0,13,141,188,94,9,2,0,0,53,30,11880,10745,573,19,306,0,66
47,8600000US95758,95758,ZCTA5 95758,15411,13628,8943,1584,78,2452,58,25,488,1783,825,24,22,31,3,733,145,15411,9768,1608,100,2483,61,758
48,8600000US49442,49442,ZCTA5 49442,15756,15186,11829,2980,124,38,1,15,199,570,253,17,18,0,1,240,41,15756,12082,2997,142,38,2,255
49,8600000US55792,55792,ZCTA5 55792,5054,5031,4902,10,81,13,0,0,25,23,16,0,1,0,0,4,2,5054,4918,10,82,13,0,4
50,8600000US28562,28562,ZCTA5 28562,11735,11587,8864,2564,27,53,2,8,69,148,59,14,1,2,0,62,10,11735,8923,2578,28,55,2,70
51,8600000US27320,27320,ZCTA5 27320,15458,15178,11200,3817,39,35,2,4,81,280,103,10,1,2,1,151,12,15458,11303,3827,40,37,3,155
